iter	Passed	Remaining
960	52140	2115
961	52189	2061
962	52241	2007
963	52292	1952
964	52345	1898
965	52399	1844
966	52453	1790
967	52503	1735
968	52560	1681
969	52622	1627
970	52674	1573
971	52729	1518
972	52781	1464
973	52837	1410
974	52884	1356
975	52941	1301
976	52997	1247
977	53049	1193
978	53094	1138
979	53149	1084
980	53194	1030
981	53247	976
982	53298	921
983	53350	867
984	53403	813
985	53456	759
986	53512	704
987	53560	650
988	53612	596
989	53664	542
990	53712	487
991	53763	433
992	53820	379
993	53867	325
994	53919	270
995	53969	216
996	54035	162
997	54098	108
998	54156	54
999	54221	0
